n,data_type,powersort_with,powersort_without,timsort_with,timsort_without,policy_gap_with_minrun,policy_gap_without_minrun,powersort_advantage_with_minrun,powersort_advantage_without_minrun,advantage_retention_ratio,with_minrun_natural_run_count,with_minrun_natural_normalized_run_count,with_minrun_natural_run_cv,with_minrun_natural_max_run_ratio,with_minrun_natural_max_to_avg_ratio,with_minrun_natural_run_entropy_bound_nH,with_minrun_adjusted_run_count,with_minrun_adjusted_normalized_run_count,with_minrun_adjusted_run_cv,with_minrun_adjusted_max_run_ratio,with_minrun_adjusted_max_to_avg_ratio,with_minrun_adjusted_run_entropy_bound_nH,with_minrun_minrun,with_minrun_insertion_ratio,with_minrun_extended_run_count,with_minrun_run_count_retention_ratio,with_minrun_entropy_retention_ratio,with_minrun_run_cv_change,with_minrun_max_run_ratio_change,without_minrun_natural_run_count,without_minrun_natural_normalized_run_count,without_minrun_natural_run_cv,without_minrun_natural_max_run_ratio,without_minrun_natural_max_to_avg_ratio,without_minrun_natural_run_entropy_bound_nH,without_minrun_adjusted_run_count,without_minrun_adjusted_normalized_run_count,without_minrun_adjusted_run_cv,without_minrun_adjusted_max_run_ratio,without_minrun_adjusted_max_to_avg_ratio,without_minrun_adjusted_run_entropy_bound_nH,without_minrun_minrun,without_minrun_insertion_ratio,without_minrun_extended_run_count,without_minrun_run_count_retention_ratio,without_minrun_entropy_retention_ratio,without_minrun_run_cv_change,without_minrun_max_run_ratio_change,metric
1000,alternating_minrun_large_runs,2630.0,2630.0,2630.0,2630.0,0.0,0.0,0.0,0.0,,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,63.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,alternating_small_large_raw_runs,4000.0,5008.0,4000.0,5000.0,0.0,-8.0,0.0,-0.0016,-0.0,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,0.5,0.9637320155393255,-0.9539912598198399,-0.0010000000000000009,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,balanced_runs,3000.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,,8.0,0.008,0.0,0.125,1.0,3000.0,8.0,0.008,0.0,0.125,1.0,3000.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.008,0.0,0.125,1.0,3000.0,8.0,0.008,0.0,0.125,1.0,3000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,duplicate_heavy,4000.0,8670.8,4000.0,9234.0,0.0,563.2000000000007,0.0,0.060991986138185045,0.0,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,0.03974167908594138,0.4656421313533454,-0.29017853190802834,0.0562,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,exponential_runs,1856.0,1889.0,1856.0,1889.0,0.0,0.0,0.0,0.0,,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,5.0,0.005,0.8457600132425271,0.508,2.54,1854.8455317102555,63.0,0.126,2.0,0.8333333333333334,0.9854275109795746,-0.18562158442149967,0.0,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,many_tiny_runs,4000.0,8976.0,4000.0,8984.0,0.0,8.0,0.0,0.0008904719501335708,0.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,0.032,0.44606024924695936,0.030983866769659335,0.061,500.0,0.5,0.0,0.002,1.0,8965.784284662017,500.0,0.5,0.0,0.002,1.0,8965.784284662017,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,near_minrun_boundary,4000.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,0.559,9.0,1.0,0.9999972329185218,0.0,-0.0010000000000000009,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,nearly_sorted,4000.0,5023.8,4159.0,5244.8,159.0,221.0,0.03823034383265208,0.04213697376449054,0.7194570135746606,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,16.0,0.016,0.0645580661579638,0.0696,1.1136,3996.041433344235,63.0,0.943,15.2,0.40609137055837563,0.8378239413605512,-0.837788255277698,-0.026800000000000004,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,one_huge_tail_minrun_aware,1819.0,1819.0,1819.0,1819.0,0.0,0.0,0.0,0.0,,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,63.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,one_huge_tail_raw_runs,1504.0,2368.0,1504.0,2376.0,0.0,8.0,0.0,0.003367003367003367,0.0,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,5.0,0.005,1.37,0.748,3.7400000000000007,1318.432687944156,63.0,0.252,4.0,0.04950495049504951,0.6429185726201914,-6.610000000000001,-0.052000000000000046,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
