algorithm,correct,minrun,insertion_ratio,extended_run_count,weighted_merge_workload,merge_comparisons,adjusted_run_count,adjusted_normalized_run_count,adjusted_avg_run_length,adjusted_run_cv,adjusted_max_run_ratio,adjusted_max_to_avg_ratio,adjusted_run_entropy,adjusted_run_entropy_bound_nH,n,data_type,trial,natural_run_count,natural_normalized_run_count,natural_avg_run_length,natural_run_cv,natural_max_run_ratio,natural_max_to_avg_ratio,natural_run_entropy,natural_run_entropy_bound_nH
timsort_style_with_minrun,True,63,1.0,16,4000,3962,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,0,416,0.416,2.4038461538461537,0.28855502074994294,0.006,2.496,8.6477829386268,8647.7829386268
powersort_style_with_minrun,True,63,1.0,16,4000,3962,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,0,416,0.416,2.4038461538461537,0.28855502074994294,0.006,2.496,8.6477829386268,8647.7829386268
timsort_style_without_minrun,True,0,0.0,0,9251,8548,416,0.416,2.4038461538461537,0.28855502074994294,0.006,2.496,8.6477829386268,8647.7829386268,1000,random,0,416,0.416,2.4038461538461537,0.28855502074994294,0.006,2.496,8.6477829386268,8647.7829386268
powersort_style_without_minrun,True,0,0.0,0,8714,8069,416,0.416,2.4038461538461537,0.28855502074994294,0.006,2.496,8.6477829386268,8647.7829386268,1000,random,0,416,0.416,2.4038461538461537,0.28855502074994294,0.006,2.496,8.6477829386268,8647.7829386268
timsort_style_with_minrun,True,63,1.0,16,4000,3979,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,1,418,0.418,2.3923444976076556,0.28155994033242726,0.006,2.508,8.656611860050113,8656.611860050112
powersort_style_with_minrun,True,63,1.0,16,4000,3979,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,1,418,0.418,2.3923444976076556,0.28155994033242726,0.006,2.508,8.656611860050113,8656.611860050112
timsort_style_without_minrun,True,0,0.0,0,9087,8386,418,0.418,2.3923444976076556,0.28155994033242726,0.006,2.508,8.656611860050113,8656.611860050112,1000,random,1,418,0.418,2.3923444976076556,0.28155994033242726,0.006,2.508,8.656611860050113,8656.611860050112
powersort_style_without_minrun,True,0,0.0,0,8719,8090,418,0.418,2.3923444976076556,0.28155994033242726,0.006,2.508,8.656611860050113,8656.611860050112,1000,random,1,418,0.418,2.3923444976076556,0.28155994033242726,0.006,2.508,8.656611860050113,8656.611860050112
timsort_style_with_minrun,True,63,1.0,16,4000,3973,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,2,418,0.418,2.3923444976076556,0.2770703881687828,0.005,2.09,8.657631410058766,8657.631410058766
powersort_style_with_minrun,True,63,1.0,16,4000,3973,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,2,418,0.418,2.3923444976076556,0.2770703881687828,0.005,2.09,8.657631410058766,8657.631410058766
timsort_style_without_minrun,True,0,0.0,0,9166,8446,418,0.418,2.3923444976076556,0.2770703881687828,0.005,2.09,8.657631410058766,8657.631410058766,1000,random,2,418,0.418,2.3923444976076556,0.2770703881687828,0.005,2.09,8.657631410058766,8657.631410058766
powersort_style_without_minrun,True,0,0.0,0,8743,8085,418,0.418,2.3923444976076556,0.2770703881687828,0.005,2.09,8.657631410058766,8657.631410058766,1000,random,2,418,0.418,2.3923444976076556,0.2770703881687828,0.005,2.09,8.657631410058766,8657.631410058766
timsort_style_with_minrun,True,63,1.0,16,4000,3969,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,3,427,0.427,2.34192037470726,0.26469227416001395,0.006,2.5620000000000003,8.69334091600331,8693.34091600331
powersort_style_with_minrun,True,63,1.0,16,4000,3969,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,3,427,0.427,2.34192037470726,0.26469227416001395,0.006,2.5620000000000003,8.69334091600331,8693.34091600331
timsort_style_without_minrun,True,0,0.0,0,9059,8360,427,0.427,2.34192037470726,0.26469227416001395,0.006,2.5620000000000003,8.69334091600331,8693.34091600331,1000,random,3,427,0.427,2.34192037470726,0.26469227416001395,0.006,2.5620000000000003,8.69334091600331,8693.34091600331
